ticket_id,text,category,priority
TCK-12225,Assistance needed to configure corporate AWS CLI credentials and kubectl context on developer workstation. Visual bug only; functional workflows remain operational.,Technical / IT Support,Low
TCK-12293,Inquiry received: Dual external monitors are not recognized when connecting Lenovo ThinkPad to the USB-C docking station. Halts all production CI/CD deployments across engineering.,Technical / IT Support,Low
TCK-10838,"Our corporate account was billed twice for invoice #43260. Total overcharge is $4,168. No immediate workaround available; critical customer escalation.",Billing & Payment,Medium
TCK-11035,Internal incident report: Received '403 Forbidden: Insufficient Permissions' when trying to access workspace 'Acme Corp' despite being admin. Halts all production CI/CD deployments across engineering.,Account & Access,Medium
TCK-12145,"Internal incident report: Requesting standard workstation hardware provisioning for incoming senior software engineer starting next week. Affects more than 2,000 active concurrent users.",Technical / IT Support,Low
TCK-10813,"Requesting official formal price quote for expanding from 50 to 150 user licenses for Massive Dynamic. Only affects a single user, but workaround is cumbersome.",Billing & Payment,Low
TCK-10508,"Account marked past due and suspended, but wire transfer of $2,634 was completed 3 business days ago. Visual bug only; functional workflows remain operational.",Billing & Payment,Critical
TCK-10525,"Report from customer success: Account marked past due and suspended, but wire transfer of $2,432 was completed 3 business days ago. Low impact, customer is just inquiring for future planning.",Billing & Payment,Critical
TCK-10299,Customer reports: UI regression: Form fields overlap and become unclickable in Ingestion Pipeline when executing SQL query against reporting replica. High severity as our SLA requires a resolution within 2 hours.,Bug / System Error,Low
TCK-11663,Report from customer success: Please provide a public REST API endpoint allowing programmatic retrieval of workspace analytics metrics. Causes immediate revenue loss and prevents checkout completion.,Feature Request,Medium
TCK-11237,Password reset link gives 'HTTP 400 Token Invalid or Expired' immediately upon opening. Causes immediate revenue loss and prevents checkout completion.,Account & Access,High
TCK-10709,Direct message from enterprise admin: Credit card payment failed with code ERR_CARD_PROCESSOR_TIMEOUT for company Massive Dynamic. Minor inconvenience for internal staff.,Billing & Payment,Low
TCK-10202,Crash report: Worker thread terminated unexpectedly with OutOfMemoryError: Java heap space while rendering the executive KPI dashboard. High severity as our SLA requires a resolution within 2 hours.,Bug / System Error,Critical
TCK-11683,Internal incident report: Requesting Webhook support for ticket status updates so our engineering team can trigger custom Slack alerts. High severity as our SLA requires a resolution within 2 hours.,Feature Request,Medium
TCK-11438,Escalation notice: Security escalation: Unusual login detected from unrecognized IP in foreign jurisdiction for account t.tanaka. No immediate workaround available; critical customer escalation.,Account & Access,Critical
TCK-10167,"Client wrote: Data corruption risk: After generating the annual revenue reconciliation report, previously saved records disappear from Batch Processing Worker. Visual bug only; functional workflows remain operational.",Bug / System Error,Critical
TCK-11661,"Automated monitoring alert: Would appreciate an automated weekly email digest summarizing team performance and open ticket counts. Only affects a single user, but workaround is cumbersome.",Feature Request,Low
TCK-10211,Automated monitoring alert: Bug discovered in Ingestion Pipeline: saving nested profile permissions yields incorrect calculation results. Causes immediate revenue loss and prevents checkout completion.,Bug / System Error,Critical
TCK-11700,Helpdesk dispatch: Please provide a public REST API endpoint allowing programmatic retrieval of workspace analytics metrics. Visual bug only; functional workflows remain operational.,Feature Request,Medium
TCK-10142,Ticket opened by employee: Application crashes consistently when clicking the bulk submit button. Error message: 'Database connection pool exhausted'. Environment: on corporate Lenovo ThinkPad T14. No immediate workaround available; critical customer escalation.,Bug / System Error,Critical
TCK-11719,User stated: Kindly increase maximum file upload limit from 10MB to 100MB to support uploading short debugging screen recordings. High severity as our SLA requires a resolution within 2 hours.,Feature Request,Low
TCK-11936,We would love the ability to export all chart visualizations directly to high-res SVG or vector PDF. Causes immediate revenue loss and prevents checkout completion.,Feature Request,Low
TCK-10713,Inquiry received: Invoice #90774 has the incorrect legal entity tax ID. Please regenerate with GST/VAT #VAT-90774. This is blocking the entire finance department from closing month-end accounts.,Billing & Payment,Medium
TCK-10612,Ticket opened by employee: Credit card payment failed with code ERR_CARD_PROCESSOR_TIMEOUT for company Initech LLC. Minor inconvenience for internal staff.,Billing & Payment,High
TCK-10411,Critical alert logged: Encountered a fatal crash during importing customer leads from Salesforce. The screen went completely blank and logged SSL handshake failed: certificate expired. No immediate workaround available; critical customer escalation.,Bug / System Error,High
TCK-11415,"Critical alert logged: User session randomly terminates every 3 minutes, forcing re-authentication on on corporate Lenovo ThinkPad T14. Affects more than 2,000 active concurrent users.",Account & Access,Medium
TCK-10400,Intermittent failure: rendering the executive KPI dashboard fails with SSL handshake failed: certificate expired for about 15% of requests. Halts all production CI/CD deployments across engineering.,Bug / System Error,Medium
TCK-11347,Internal incident report: Account locked after multiple failed attempts. Please unlock username 'a.patel' immediately. Causes immediate revenue loss and prevents checkout completion.,Account & Access,Low
TCK-12352,Client wrote: Office Wi-Fi in the 4th floor engineering wing is suffering severe packet loss and DNS resolution timeouts. Minor inconvenience for internal staff.,Technical / IT Support,High
TCK-11499,Critical alert logged: Company-wide SSO login outage: Okta SAML returns 'Invalid assertion signature'. All employees locked out! Visual bug only; functional workflows remain operational.,Account & Access,Critical
