ticket_id,text,category,priority
TCK-11807,"Automated monitoring alert: Would appreciate an automated weekly email digest summarizing team performance and open ticket counts. Affects more than 2,000 active concurrent users.",Feature Request,Low
TCK-10928,"Automated monitoring alert: Cannot download tax / VAT invoice receipt for invoice #42580. Need it immediately for external audit. Affects more than 2,000 active concurrent users.",Billing & Payment,Low
TCK-10755,"Report from customer success: Cannot download tax / VAT invoice receipt for invoice #66629. Need it immediately for external audit. Affects more than 2,000 active concurrent users.",Billing & Payment,Medium
TCK-11793,"Escalation notice: Feature Request: Please add native Dark Mode support across the entire web application dashboard. Affects more than 2,000 active concurrent users.",Feature Request,Low
TCK-12290,Ticket opened by employee: Corporate VPN gateway is rejecting connections with 'TLS Handshake Failed'. Remote engineers cannot access servers. Causes immediate revenue loss and prevents checkout completion.,Technical / IT Support,Critical
TCK-11236,Immediate offboarding request: Please revoke all API tokens and deactivate account for former staff m.garcia@massivedynamic.com. Halts all production CI/CD deployments across engineering.,Account & Access,High
TCK-11489,Company-wide SSO login outage: Okta SAML returns 'Invalid assertion signature'. All employees locked out! Halts all production CI/CD deployments across engineering.,Account & Access,Critical
TCK-10146,Internal incident report: Application crashes consistently when clicking the bulk submit button. Error message: 'OutOfMemoryError: Java heap space'. Environment: via Android app v4.2.1. Causes immediate revenue loss and prevents checkout completion.,Bug / System Error,Critical
TCK-11025,Urgent assistance requested: Received '403 Forbidden: Insufficient Permissions' when trying to access workspace 'Hooli Tech' despite being admin. No immediate workaround available; critical customer escalation.,Account & Access,Medium
TCK-10449,"The export feature is generating corrupted, 0-byte files when uploading a 25MB CSV data file. Causes immediate revenue loss and prevents checkout completion.",Bug / System Error,High
TCK-10286,"Urgent assistance requested: Encountered a fatal crash during invoking the batch synchronization API. The screen went completely blank and logged HTTP 401 Unauthorized. Low impact, customer is just inquiring for future planning.",Bug / System Error,High
TCK-12320,Corporate VPN gateway is rejecting connections with 'TLS Handshake Failed'. Remote engineers cannot access servers. Causes immediate revenue loss and prevents checkout completion.,Technical / IT Support,Critical
TCK-10664,Customer reports: Need clarification on line-item usage charges for data egress on current monthly billing statement. Halts all production CI/CD deployments across engineering.,Billing & Payment,Low
TCK-11850,"Client wrote: Can you support bulk employee CSV upload? Manually creating individual user accounts is too slow. Low impact, customer is just inquiring for future planning.",Feature Request,Medium
TCK-11898,Issue logged via web portal: Would appreciate an automated weekly email digest summarizing team performance and open ticket counts. Minor inconvenience for internal staff.,Feature Request,Low
TCK-10655,Need clarification on line-item usage charges for data egress on current monthly billing statement. This is blocking the entire finance department from closing month-end accounts.,Billing & Payment,Low
TCK-10936,Invoice #52534 has the incorrect legal entity tax ID. Please regenerate with GST/VAT #VAT-52534. This is blocking the entire finance department from closing month-end accounts.,Billing & Payment,Medium
TCK-12127,Internal code repository server (git.internal.corp) is completely unreachable; SSH connection timed out on port 22. High severity as our SLA requires a resolution within 2 hours.,Technical / IT Support,Critical
TCK-12171,Critical alert logged: Requesting standard workstation hardware provisioning for incoming senior software engineer starting next week. This is blocking the entire finance department from closing month-end accounts.,Technical / IT Support,Low
TCK-10505,Customer reports: Credit card payment failed with code ERR_CARD_PROCESSOR_TIMEOUT for company Acme Corp. Visual bug only; functional workflows remain operational.,Billing & Payment,High
TCK-10338,UI regression: Form fields overlap and become unclickable in Search Backend when uploading a 25MB CSV data file. High severity as our SLA requires a resolution within 2 hours.,Bug / System Error,Low
TCK-10723,Need clarification on line-item usage charges for data egress on current monthly billing statement. High severity as our SLA requires a resolution within 2 hours.,Billing & Payment,Low
TCK-11213,"User session randomly terminates every 3 minutes, forcing re-authentication on using Chrome 122 on Windows 11. Visual bug only; functional workflows remain operational.",Account & Access,Critical
TCK-10169,Crash report: Worker thread terminated unexpectedly with HTTP 403 Forbidden - Access Denied while saving nested profile permissions. High severity as our SLA requires a resolution within 2 hours.,Bug / System Error,Critical
TCK-11446,Account locked after multiple failed attempts. Please unlock username 'k.chen' immediately. Visual bug only; functional workflows remain operational.,Account & Access,Medium
TCK-11721,"Direct message from enterprise admin: Can you support bulk employee CSV upload? Manually creating individual user accounts is too slow. Only affects a single user, but workaround is cumbersome.",Feature Request,Medium
TCK-10440,UI regression: Form fields overlap and become unclickable in Reporting Engine when clicking the bulk submit button. This is blocking the entire finance department from closing month-end accounts.,Bug / System Error,Low
TCK-11964,Client wrote: Feature Request: Please add native Dark Mode support across the entire web application dashboard. High severity as our SLA requires a resolution within 2 hours.,Feature Request,Low
TCK-10120,Search index seems desynchronized in Notification Queue; new entries do not appear after processing payroll deductions for all employees. Visual bug only; functional workflows remain operational.,Bug / System Error,Medium
TCK-10077,"Ticket opened by employee: Application crashes consistently when saving nested profile permissions. Error message: 'ERR_CONNECTION_REFUSED on port 8080'. Environment: using Chrome 122 on Windows 11. Low impact, customer is just inquiring for future planning.",Bug / System Error,Critical
TCK-11616,Can we add granular tag-based filtering and custom multi-select fields to the main ticket view? Minor inconvenience for internal staff.,Feature Request,Critical
